PRECINCT,POP_AGE18_24,POP_25OVER,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACEHISPANIC,SQF_RACEWHITE,SQF_SEXM,SQF_SEXF,SQF_SEXZ,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,POP_Adult,POP_Male,POP_Female,UNDERHS_ALL,GRAD_ALL,COLLEGE_ALL,BACHELORS_ALL,POP_AGE18_24,POP_25OVER,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
45,145201,1093272,259,6099,6609,2804,14905,1348,396,3463,5963,3613,1863,1586,90,17094,37762,73829,17930,1238473,569399,669074,203704,335580,274823,168766,145201,1093272,17094,37762,73829,17930,10084,21934,39908,9112,7112,15827,33922,10502,93305,99083,297818,200994,150836,37028,46349,139727,91119,64921,53868,51880,151159,106699,89841
46,150889,744634,200,15797,18482,324,33435,1947,150,4511,14616,9157,4050,2866,60,41680,42375,59779,7567,895523,412120,483403,320302,242819,180359,68453,150889,744634,41680,42375,59779,7567,22156,23612,27069,2805,18768,18763,32710,5240,139311,128870,200444,120580,60886,58582,53861,94586,52477,26533,74235,72841,100449,65909,38053
47,208174,1324417,324,25884,6223,664,31025,2502,692,6201,13364,8487,3339,2573,133,39611,49476,94204,23466,1532591,666453,866138,281769,418557,322814,206145,208174,1324417,39611,49476,94204,23466,20630,27190,43575,8224,19051,22286,50628,17066,121079,155592,369081,228610,182679,49973,70499,159622,97609,75195,62861,82783,200044,127182,113310
48,136434,634637,130,7466,7561,624,14833,1325,869,2528,5967,4415,2020,1779,83,38701,39359,53000,6958,771071,345731,425340,282447,200127,163463,59611,136434,634637,38701,39359,53000,6958,18842,20749,23552,3006,19237,18610,29448,4275,121873,115042,160768,110463,52653,49811,45828,72363,47110,24514,64681,68040,84294,61382,30318
49,116009,890640,462,12501,9965,3067,24985,1776,255,5969,10871,5530,2406,2051,97,19582,29525,53761,13384,1006649,472493,534156,234136,257886,192622,135760,116009,890640,19582,29525,53761,13384,10338,16095,24203,6004,9669,13430,29558,8557,107277,96496,228361,138861,122376,46519,47272,107366,66838,52004,58357,48096,115040,68781,73475
50,114670,836683,122,2625,5371,1044,8709,564,36,1728,3194,2132,1047,1060,64,12869,29623,55549,16435,951353,427745,523608,154851,189464,184419,166041,114670,836683,12869,29623,55549,16435,7559,15060,25273,7504,5857,14563,30276,10281,70991,71604,159841,128870,149606,29803,31073,70625,59199,64070,40663,39519,85489,66843,86095
52,224760,1128536,407,12141,22476,1029,34728,2154,761,6561,14352,9417,3910,2967,141,48515,57307,101032,15051,1353296,627017,726279,431099,355776,287911,130501,224760,1128536,48515,57307,101032,15051,25180,30583,45330,5440,22846,26728,55699,10736,191292,163768,298469,186879,115450,76788,72905,142992,84150,49704,105337,88137,146613,99491,68971
60,102290,951542,770,16957,8358,7359,31444,2342,196,5206,12925,8405,3880,3327,140,18667,30815,42577,13586,1053832,475252,578580,215811,270652,141791,189911,102290,951542,18667,30815,42577,13586,9863,17451,20735,6301,8762,13364,21842,8484,98572,92077,239837,99214,176325,38898,41547,104928,45022,76483,54964,49778,128640,52930,101096
61,152329,1409261,814,6527,4139,11081,21640,1207,46,4074,9745,5209,1995,1715,82,14480,36286,72477,28323,1561590,741205,820385,243750,386985,236719,328028,152329,1409261,14480,36286,72477,28323,8414,19420,39646,13729,6345,16867,32831,16871,114635,92440,350699,164242,299705,52083,44103,154327,80081,138474,60726,47504,187609,81021,161920
62,183263,1604038,1607,1650,5709,9223,17522,1058,17,3712,7020,4572,1992,1196,45,23299,42687,79670,36381,1787301,863148,924153,519279,465805,239620,300534,183263,1604038,23299,42687,79670,36381,14370,22406,38959,17649,9189,20281,40711,21374,247990,179261,423118,159950,264153,111842,91271,194672,77607,124496,139185,85396,218013,79428,139563
63,120097,908300,166,11342,973,1974,13793,842,106,2478,6256,3740,1366,766,27,12588,27470,63619,18182,1028397,469908,558489,110994,274215,213699,182830,120097,908300,12588,27470,63619,18182,7142,15604,31505,7591,5602,11866,32114,12244,49203,57088,246745,150080,164648,20252,27621,111420,70513,73942,26879,29217,129405,76700,93797
66,189214,1118285,1612,1825,6657,3130,12864,982,157,1797,4593,3942,1911,1612,85,33934,58436,68513,25591,1307499,648136,659363,314328,373726,201030,190198,189214,1118285,33934,58436,68513,25591,22199,26272,39895,12283,11934,32164,28618,15646,140197,130742,315290,132517,164607,66990,68178,135772,68997,81378,72086,59939,172060,60769,84402
67,155417,1123435,402,40721,1382,434,40496,2746,782,5341,15418,12475,5491,4337,191,22468,44663,74535,14961,1278852,547744,731108,176688,409810,275961,176010,155417,1123435,22468,44663,74535,14961,12806,23721,31593,5542,9936,20942,42942,10463,77110,90483,365147,201426,161049,27782,41531,160844,80095,63765,42648,48037,194774,117824,101819
68,124449,1158138,696,792,2889,5801,9806,507,10,1388,4621,2406,1099,752,27,15650,30155,52613,27470,1282587,617076,665511,269082,279989,188288,260822,124449,1158138,15650,30155,52613,27470,8912,17441,27931,13078,6856,12714,24682,16869,126716,98319,249834,135675,233352,56092,47190,114452,68377,110753,71790,49776,130058,64516,120567
69,109416,717187,344,20684,1284,440,21580,1250,54,3575,9357,5709,2267,1797,86,14261,26298,56802,12204,826603,354191,472412,117243,230263,188595,125023,109416,717187,14261,26298,56802,12204,7691,15604,25857,3999,6485,10694,30945,9198,51491,55379,203965,131793,112819,18650,23979,89306,54896,44387,27693,31170,109452,74669,72077
70,194723,1302953,1104,28845,6146,2333,36080,2753,1005,7459,14889,9843,4105,2883,516,25925,50989,84524,30906,1497676,689990,807686,255027,379538,270598,268725,194723,1302953,25925,50989,84524,30906,13942,26948,39636,12537,12184,24041,44888,20475,114551,111389,328549,186074,237819,48890,51625,143921,86240,104142,59748,58639,177342,96446,133997
71,120276,790567,133,20829,1136,534,21356,1333,21,3319,8342,5986,2644,2244,85,16906,30686,57193,17492,910843,403299,507544,133006,236083,203215,153055,120276,790567,16906,30686,57193,17492,9609,16325,28718,8489,7293,14361,28475,10192,58050,70334,205397,146022,135563,21619,32601,85704,62534,59610,32997,37039,115680,81003,76384
72,132098,1014205,1032,1940,15149,1516,19102,963,78,3249,7147,5383,2605,1620,78,30957,28892,47919,24163,1146303,583083,563220,440249,214195,137994,186891,132098,1014205,30957,28892,47919,24163,17409,15844,22817,10939,13403,13048,25102,15450,204646,152646,185303,90075,162728,98785,78922,94439,49493,79430,105424,70928,87133,39212,81964
73,117289,731045,660,66587,7438,686,69626,6437,1650,16839,26365,17204,8348,8249,379,27793,37257,42114,9174,848334,344482,503852,182911,285967,163823,78267,117289,731045,27793,37257,42114,9174,14439,20202,17496,3930,13408,17055,24618,5683,77559,111499,248710,121709,69093,26936,43165,99426,44102,28174,43355,67141,143526,75857,44106
75,246965,1416860,1281,67432,19997,1429,84944,6235,2260,15963,33893,22800,10473,9359,512,50860,87360,89254,15176,1663825,720786,943039,375590,640888,296237,143615,246965,1416860,50860,87360,89254,15176,24707,43790,40302,5631,25110,43570,48952,10530,162365,167932,553528,206983,128439,63473,70669,237391,82533,54048,82349,95979,300296,121464,79671
76,27478,375575,503,8366,5865,3153,16494,1812,39,2386,4995,4231,3131,3441,110,4530,15134,8173,7188,403053,187808,215245,48934,59024,39653,115274,27478,375575,4530,15134,8173,7188,2119,7782,3667,3581,2376,7352,4506,4420,22202,23166,43890,31480,108086,8099,9314,20670,14626,48897,12110,13790,22675,16433,56735
77,101145,709310,461,32708,2899,1013,34712,2702,177,5261,11381,9424,5155,5910,331,16249,22744,39132,21642,810455,355070,455385,130813,192470,141983,159496,101145,709310,16249,22744,39132,21642,8950,12973,17445,8689,7380,9771,21687,14409,57282,74192,169726,102851,137854,21308,32770,73614,44038,58845,29469,40610,93500,57641,78357
